DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.308893	30	8	3	1	7	2	1	0	14713	28	0	29.1397	0	1.13118e-07
DL	0.309143	30	9	0	1	7	2	1	0	14713	28	0	29.1753	0	1.59344e-07
DL	0.309393	30	9	1	1	7	2	1	0	14713	28	0	29.1046	0	2.64293e-07
DL	0.309643	30	9	2	1	7	2	1	0	14713	28	0	29.121	0	2.48249e-07
DL	0.309893	30	9	3	1	7	2	1	0	14713	28	0	29.1254	0	1.58681e-07
DL	0.310143	31	0	0	1	7	2	1	0	14713	28	0	29.189	0	6.55017e-08
DL	0.310393	31	0	1	1	7	2	1	0	14713	28	0	29.2115	0	2.13946e-08
DL	0.310643	31	0	2	1	7	2	1	0	14713	28	0	29.2234	0	5.81775e-09
DL	0.310893	31	0	3	1	7	2	1	0	14713	28	0	29.2245	0	1.88564e-09
DL	0.311143	31	1	0	1	7	2	1	0	14713	28	0	29.2539	0	7.60043e-10
DL	0.311393	31	1	1	1	7	2	1	0	14713	28	0	29.305	0	3.7411e-10
DL	0.311643	31	1	2	1	7	2	1	0	14713	28	0	29.2559	0	3.49916e-10
DL	0.311893	31	1	3	1	7	2	1	0	14713	28	0	29.3313	0	2.2236e-10
DL	0.312143	31	2	0	1	7	2	1	0	14713	28	0	29.3333	0	1.84577e-10
DL	0.312393	31	2	1	1	7	2	1	0	14713	28	0	29.3565	0	1.749e-10
DL	0.312643	31	2	2	1	7	2	1	0	14713	28	0	29.3779	0	1.84639e-10
DL	0.312893	31	2	3	1	7	2	1	0	14713	28	0	29.3832	0	3.04008e-10
DL	0.313143	31	3	0	1	7	2	1	0	14713	28	0	29.4144	0	4.63047e-10
DL	0.313393	31	3	1	1	7	2	1	0	14713	28	0	29.4112	0	1.01471e-09
DL	0.313643	31	3	2	1	7	2	1	0	14713	28	0	29.4651	0	1.65618e-09
DL	0.313893	31	3	3	1	7	2	1	0	14713	28	0	29.4021	0	3.40675e-09
DL	0.314143	31	4	0	1	7	2	1	0	14713	28	0	29.3585	0	4.87267e-09
DL	0.314393	31	4	1	1	7	2	1	0	14713	28	0	29.3128	0	5.78213e-09
DL	0.314643	31	4	2	1	7	2	1	0	14713	28	0	29.3025	0	5.30166e-09
DL	0.314893	31	4	3	1	7	2	1	0	14713	28	0	29.3428	0	6.32307e-09
DL	0.315143	31	5	0	1	7	2	1	0	14713	28	0	29.3344	0	1.2357e-08
DL	0.315393	31	5	1	1	7	2	1	0	14713	28	0	29.2833	0	2.2944e-08
DL	0.315643	31	5	2	1	7	2	1	0	14713	28	0	29.2714	0	2.40909e-08
DL	0.315893	31	5	3	1	7	2	1	0	14713	28	0	29.2897	0	2.14493e-08
DL	0.316143	31	6	0	1	7	2	1	0	14713	28	0	29.3874	0	1.2819e-08
DL	0.316393	31	6	1	1	7	2	1	0	14713	28	0	29.309	0	1.32027e-08
DL	0.316643	31	6	2	1	7	2	1	0	14713	28	0	29.3057	0	1.00097e-08
DL	0.316893	31	6	3	1	7	2	1	0	14713	28	0	29.2619	0	9.85239e-09
DL	0.317143	31	7	0	1	7	2	1	0	14713	28	0	29.2677	0	9.04821e-09
DL	0.317393	31	7	1	1	7	2	1	0	14713	28	0	29.2448	0	9.80984e-09
DL	0.317643	31	7	2	1	7	2	1	0	14713	28	0	29.2413	0	9.23982e-09
DL	0.317893	31	7	3	1	7	2	1	0	14713	28	0	29.2565	0	6.99713e-09
DL	0.318143	31	8	0	1	7	2	1	0	14713	28	0	29.2941	0	5.2672e-09
UL	0.318161	31	8	0	8	1	2	1	0	2104	28	0	29.2872 	0	4.6626e-12
DL	0.318393	31	8	1	1	7	2	1	0	14713	28	0	29.298	0	4.07203e-09
UL	0.318411	31	8	1	8	1	2	1	0	2104	28	0	29.3261 	0	2.76978e-12
DL	0.318643	31	8	2	1	7	2	1	0	14713	28	0	29.3272	0	2.82153e-09
UL	0.318661	31	8	2	8	1	2	1	0	2104	28	0	29.336 	0	2.44971e-12
DL	0.318893	31	8	3	1	7	2	1	0	14713	28	0	29.3116	0	1.89708e-09
DL	0.319143	31	9	0	1	7	2	1	0	14713	28	0	29.3731	0	7.66074e-10
DL	0.319393	31	9	1	1	7	2	1	0	14713	28	0	29.3819	0	2.33549e-10
DL	0.319643	31	9	2	1	7	2	1	0	14713	28	0	29.3718	0	5.68434e-11
DL	0.319893	31	9	3	1	7	2	1	0	14713	28	0	29.374	0	1.42242e-11
DL	0.320143	32	0	0	1	7	2	1	0	14713	28	0	29.4041	0	4.54525e-12
DL	0.320393	32	0	1	1	7	2	1	0	14713	28	0	29.4248	0	1.82965e-12
DL	0.320643	32	0	2	1	7	2	1	0	14713	28	0	29.4436	0	1.30562e-12
DL	0.320893	32	0	3	1	7	2	1	0	14713	28	0	29.4517	0	1.45217e-12
DL	0.321143	32	1	0	1	7	2	1	0	14713	28	0	29.4696	0	1.95843e-12
DL	0.321393	32	1	1	1	7	2	1	0	14713	28	0	29.3953	0	4.18776e-12
DL	0.321643	32	1	2	1	7	2	1	0	14713	28	0	29.2788	0	9.20375e-12
DL	0.321893	32	1	3	1	7	2	1	0	14713	28	0	29.2533	0	1.38489e-11
DL	0.322143	32	2	0	1	7	2	1	0	14713	28	0	29.2024	0	2.88169e-11
DL	0.322393	32	2	1	1	7	2	1	0	14713	28	0	29.1981	0	5.44187e-11
DL	0.322643	32	2	2	1	7	2	1	0	14713	28	0	29.1058	0	1.17373e-10
DL	0.322893	32	2	3	1	7	2	1	0	14713	28	0	29.0933	0	1.749e-10
DL	0.323143	32	3	0	1	7	2	1	0	14713	28	0	29.1103	0	1.54174e-10
DL	0.323393	32	3	1	1	7	2	1	0	14713	28	0	29.0724	0	1.58444e-10
DL	0.323643	32	3	2	1	7	2	1	0	14713	28	0	29.0551	0	1.4885e-10
DL	0.323893	32	3	3	1	7	2	1	0	14713	28	0	29.0547	0	1.63869e-10
DL	0.324143	32	4	0	1	7	2	1	0	14713	28	0	29.0142	0	2.42095e-10
DL	0.324393	32	4	1	1	7	2	1	0	14713	28	0	29.0599	0	2.80527e-10
DL	0.324643	32	4	2	1	7	2	1	0	14713	28	0	29.0585	0	3.07718e-10
DL	0.324893	32	4	3	1	7	2	1	0	14713	28	0	29.1081	0	2.42228e-10
DL	0.325143	32	5	0	1	7	2	1	0	14713	28	0	29.1229	0	1.64322e-10
DL	0.325393	32	5	1	1	7	2	1	0	14713	28	0	29.2014	0	1.02391e-10
DL	0.325643	32	5	2	1	7	2	1	0	14713	28	0	29.1847	0	8.16613e-11
DL	0.325893	32	5	3	1	7	2	1	0	14713	28	0	29.2506	0	4.75731e-11
DL	0.326143	32	6	0	1	7	2	1	0	14713	28	0	29.2731	0	4.07141e-11
DL	0.326393	32	6	1	1	7	2	1	0	14713	28	0	29.2555	0	4.92939e-11
DL	0.326643	32	6	2	1	7	2	1	0	14713	28	0	29.2239	0	5.60663e-11
DL	0.326893	32	6	3	1	7	2	1	0	14713	28	0	29.2283	0	6.86584e-11
DL	0.327143	32	7	0	1	7	2	1	0	14713	28	0	29.1864	0	9.24749e-11
DL	0.327393	32	7	1	1	7	2	1	0	14713	28	0	29.2076	0	7.41474e-11
DL	0.327643	32	7	2	1	7	2	1	0	14713	28	0	29.2091	0	4.47398e-11
DL	0.327893	32	7	3	1	7	2	1	0	14713	28	0	29.2066	0	3.35221e-11
